id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27405710,Habitación ORUGA. La Casa de las Mariposas,206535488,Nora,,Xochimilco,19.25635,-99.1297,Private room,446,1,1,2019-09-17,0.12,3,327
27607310,Casa cerca de las trajineras,201863045,Alejandro,,Xochimilco,19.244310000000002,-99.10361999999999,Private room,503,1,0,,,1,364
27660523,Agradable para hacer turismo en xochimilco,208749181,Carlota,,Xochimilco,19.2571,-99.13333,Private room,802,3,0,,,1,178
27909282,Cdmx casa iv,210831400,Mayra Ivonne,,Xochimilco,19.29289,-99.10629,Entire home/apt,1404,1,0,,,1,365
28151579,Departamentos nuevos con alberca climatizada !!!!!,212104868,Marco,,Xochimilco,19.20744,-99.12138,Entire home/apt,557,1,5,2019-03-18,0.24,8,365
28226441,"Casa particular  CDMX, habitacion privada.",213205419,Adriana,,Xochimilco,19.27584,-99.12903,Private room,240,2,5,2019-01-18,0.26,2,149
28268639,RECAMARA AMUEBLADA 1 PERSONA,213282230,Rv,,Xochimilco,19.28056,-99.12316,Private room,223,90,0,,,1,364
28733813,DEPARTAMENTOS NUEVOS TOTALMENTE AMOBLADOS  ESTRENA,212104868,Marco,,Xochimilco,19.207620000000002,-99.12098,Entire home/apt,557,1,5,2019-03-17,0.27,8,365
29594622,Cabaña,126519455,Claudia,,Xochimilco,19.21494,-99.1026,Entire home/apt,735,2,0,,,1,180
30289360,DEPARTAMENTOS CON ALBERCA CLIMATIZADA EN CDMX,212104868,Marco,,Xochimilco,19.2085,-99.12236,Entire home/apt,1002,1,6,2020-01-01,0.35,8,365
30290627,"DEPARTAMENTOS XOCHIMILCO,TODOS LOS SERVICIOS, CCTV",212104868,Marco,,Xochimilco,19.209120000000002,-99.12102,Entire home/apt,535,1,3,2019-04-06,0.18,8,365
30341250,Visita Xochimilco,227680859,Karen,,Xochimilco,19.25656,-99.11529,Entire home/apt,2853,1,0,,,1,90
30751377,kame house,230123121,Samanta,,Xochimilco,19.274,-99.12629,Private room,245,1,0,,,1,90
